ID,Smiles,Tg,Polymer type
P340007.mol,*C(C*)(C(=O)Oc1ccc(cc1)C(=O)O)C,110.0,"Polyacrylics, Polyvinyls"
P340009.mol,*C(C*)(C(=O)OCCCCCCOc1ccc(cc1)C=Nc1ccc(cc1)C#N)C,35.0,"Polyacrylics, Polyvinyls"
P340011.mol,*C(C*)(C(=O)OCCCCCCCCCCCOc1ccc(cc1)C=Nc1ccc(cc1)C#N)C,23.0,"Polyacrylics, Polyvinyls"
P340012.mol,*C(C*)(C(=O)OCCO[Si](C)(C)C)C,89.0,"Polyacrylics, Polyvinyls"
P340014.mol,*C(C*)(C(=O)OC1CCCC1)C,75.0,"Polyacrylics, Polyvinyls"
P340015.mol,*C(C*)C(=O)OCC(O)C,-7.0,"Polyacrylics, Polyvinyls"
P340016.mol,*C(C*)(C(=O)OCCCCCOc1ccc(cc1)c1ccc(cc1)C#N)C,60.0,"Polyacrylics, Polyvinyls"
P340017.mol,*C(C*)(CC(=O)OCCCCCCCC)C(=O)OCCCCCCCC,-32.33,"Polyacrylics, Polyvinyls"
P340018.mol,*C(C*)(CC(=O)OCCCCCCCCC)C(=O)OCCCCCCCCC,-13.0,"Polyacrylics, Polyvinyls"
P340019.mol,*C(C*)(CC(=O)OC1CCCCCCC1)C(=O)OC1CCCCCCC1,124.0,"Polyacrylics, Polyvinyls"
P340020.mol,*C(C(C(C*)OC)C(=O)OC)C(=O)OC,59.5,"Polyacrylics, Polyvinyls"
P340021.mol,*C(C(C(C*)OCC)C(=O)OC)C(=O)OC,50.0,"Polyacrylics, Polyvinyls"
P340022.mol,*C(C(C(C*)OCC(C)C)C(=O)OC)C(=O)OC,44.5,"Polyacrylics, Polyvinyls"
P340023.mol,*C(C(C(C*)OCCCC)C(=O)OC)C(=O)OC,32.5,"Polyacrylics, Polyvinyls"
P340024.mol,*C(C(C(C*)OC)(C(=O)OC)C)(C(=O)OC)C,134.0,"Polyacrylics, Polyvinyls"
P340025.mol,*C(C(C(C*)OCC)(C(=O)OC)C)(C(=O)OC)C,131.0,"Polyacrylics, Polyvinyls"
P340026.mol,*C(C(C(C*)OCC(C)C)(C(=O)OC)C)(C(=O)OC)C,125.5,"Polyacrylics, Polyvinyls"
P340027.mol,*C(C(C(C*)OCCCC)(C(=O)OC)C)(C(=O)OC)C,97.5,"Polyacrylics, Polyvinyls"
