Smiles,Dielec
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)C(c2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(=O)*)(C(F)(F)F)C(F)(F)F)cc1,3.26
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(*)(C(F)(F)F)C(F)(F)F)cc1,2.855
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)C(c2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(*)(C(F)(F)F)C(F)(F)F)(C(F)(F)F)C(F)(F)F)cc1,2.883333333
*c1cc2c(C(=O)N(C2=O)c2c(cc(c(c2)C)N2C(=O)c3c(C2=O)cc(cc3)C(*)(C(F)(F)F)C(F)(F)F)C)cc1,2.74
*c1cc2c(C(=O)N(C2=O)c2c(cc(c(c2C)N2C(=O)c3c(C2=O)cc(cc3)C(*)(C(F)(F)F)C(F)(F)F)C)C)cc1,2.59
*c1cc2c(C(=O)N(C2=O)c2c(c(c(c(c2C)C)N2C(=O)c3c(C2=O)cc(cc3)C(*)(C(F)(F)F)C(F)(F)F)C)C)cc1,2.245
*c1cc2c(C(=O)N(C2=O)c2cc3c(C(CC3(c3ccc(cc3)N3C(=O)c4c(C3=O)cc(cc4)C(=O)*)C)(C)C)cc2)cc1,3.196666667
*Oc1ccc(cc1)C(c1ccc(cc1)OC(=O)*)C,2.9
*Oc1ccc(cc1)C(c1ccc(cc1)OC(=O)*)CCC,3.3
*Oc1ccc(cc1)C(c1ccc(cc1)OC(=O)*)C(C)C,2.366666667
*Oc1ccc(cc1)C(c1ccc(cc1)OC(=O)*)(C)C,2.926501832
*Oc1ccc(cc1)C(c1ccc(cc1)OC(=O)*)(CC)C,3.1
*Oc1ccc(cc1)C(c1ccc(cc1)OC(=O)*)(CCC)C,2.3
*Oc1c(cc(cc1)C(c1cc(c(cc1)OC(=O)*)C)(C)C)C,2.14
*Oc1ccc(cc1)C(c1ccc(cc1)OC(=O)*)(c1ccccc1)C,3.3
*Oc1ccc(cc1)C1(CCCC1)c1ccc(cc1)OC(=O)*,2.9
*Oc1ccc(cc1)C1(CCCCC1)c1ccc(cc1)OC(=O)*,2.866666667
*Oc1ccc(cc1)C1(C2CCC(C1)C2)c1ccc(cc1)OC(=O)*,3.04
*Oc1c(cc(cc1)C(c1cc(c(cc1)OC(=O)*)C)C)C,3.5
*=Nc1c(cc(cc1)c1cc(c(cc1)N=C=*)OC)OC,3.6
*c1c(nc2c(n1)cc(cc2)c1cc2c(nc(c(n2)c2ccc(cc2)*)c2ccccc2)cc1)c1ccccc1,3.7
*O[Si](*)(c1ccccc1)C,3.82
*N=P(*)(Oc1ccc(cc1)c1ccccc1)Oc1ccc(cc1)c1ccccc1,3.52
*N=P(*)(OCC(F)(F)F)OCC(F)(F)F,4.2
*N=P(*)(Oc1ccc(cc1)Cl)Oc1ccc(cc1)Cl,3.55
*c1ccc(cc1)CC*,3.228
*c1c(cc(cc1)CC*)C,2.48
*c1c(cc(cc1)CC*)Cl,3
*c1ccc(cc1)C(C(*)(F)F)(F)F,2.4085
*c1c(cc(cc1Cl)CC*)Cl,2.82
*C(C*)c1ccc(cc1)C=C,2.8
*C(C*)c1ccc(cc1)[N+](=O)[O-],4.97
*C(C*)OCCCCCCCCCCCOc1ccc(cc1)C(=O)Oc1ccc(cc1)C#N,3.92
*C(C*)OCCCCCCCCCCCOc1ccc(cc1)C(=O)Oc1ccc(cc1)OCC,4.775
*C(=C*)CCCOc1ccc(cc1)C1CCC(CC1)CCCCCCCC,2.25
*C(C*)OCCCCCCCOc1ccc(cc1)c1ccc(cc1)C#N,5.15
*C(C*)OC(=O)C=Cc1ccccc1,4.9
*C(=C*)CCCOc1ccc(cc1)OC(=O)c1ccc(cc1)OCCCCCCCC,2.2
*C(C*)c1ccc2n(c3c(c2c1)cccc3)CC,2.5
*C1C(C(C(C1)C=C*)C(=O)OCCCCCCCCCCCOc1ccc(cc1)c1ccc(cc1)C#N)C(=O)OCCCCCCCCCCCOc1ccc(cc1)c1ccc(cc1)C#N,3.3
*C(=C*)C1[NH+](C=CC=C1)CC#C,2.9
*C(=C*)C1[NH+](C=CC=C1)CC1OC1,5.3
*C(=C*)C1[NH+](C=CC=C1)CCCCCC,2.9
*C(C*)(C(=O)OCCO[Si](C)(C)C)C,3.7
*C(C*)(CC(=O)OC1CCCCCCC1)C(=O)OC1CCCCCCC1,2.7
*C(C*)C(=O)OCCCCCCOc1ccc(cc1)C(=O)Oc1ccc(cc1)OC,3.55
*C(C*)(C(=O)OCCCCCCOc1ccc(cc1)C(=O)Oc1ccc(cc1)OCCCC)Cl,3.35
*C(C*)(C(=O)OC1CCC1)C,3.7
*C(C*)(CC(=O)OCC(C)C)C(=O)OCC(C)C,3.5
*C(C*)(C(=O)OCCCCl)C,5.055
*C(C*)(C(=O)OCCCCCCCC)C(=O)O,2.7
*C(C*)(C(=O)OCCCCCCCCCC)C(=O)O,2.9
*C(C*)(C(=O)OCCCCCCCCCCCC)C(=O)O,2.7
*C(C*)(C(=O)OCCCCCCCCCCCCCC)C(=O)O,2.8
*C(C*)C(=O)Oc1ccc(cc1)C(=O)c1ccc(cc1)Cl,4.45
*C(C*)C(=O)OCCCCCCCCCCCOc1ccc(cc1)c1ccc(cc1)OC(=O)c1cc(c(cc1)OC(CCCCCC)C)[N+](=O)[O-],2.2
*C(C*)(C(=O)OCCCCCc1ccc(cc1)N=Nc1ccc(cc1)OC(F)(F)F)C,3.7
*C(C*)(C(=O)OC1C(CCCC1)C(C)(C)C)C,2.2
*C(C*)(C(=O)OCCC1CCCCC1)C,4
*C(C*)(C(=O)OCCCC1CCCCC1)C,3
*C(C*)(C(=O)OCCCCC1CCCCC1)C,3
*C(C*)(C(=O)OCc1cc(c(cc1)Cl)Cl)C,4.61
*C(C*)(CC(=O)OC1CCC1)C(=O)OC1CCC1,2.6
*C(C*)(CC(=O)OC1CCCCCC1)C(=O)OC1CCCCCC1,2.7
*C(C*)(C(=O)OCC1OC(=O)OC1)C,5.5
*C(C*)(C(=O)OCC1CCC1)C,3
*C(C*)(CC(=O)OCCCl)C(=O)OCCCl,2
*C(C*)(CC(=O)OCCCCl)C(=O)OCCCCl,3.2
*C(C*)C(=O)NC(CC)(C)C,5.7
*C(C*)C(=O)NC12CC3CC(CC(C1)C3)C2,5.1
*C1C2C(C(C1)CC*)C1C(CC2C1)(C(=O)OC)C,2.7
*C(C*)(C(=O)OCc1ccc(cc1)Cl)C,4.1
*C(C*)(C(=O)OCc1c(c(ccc1)Cl)Cl)C,3.48
*C(C*)(C(=O)OCc1c(cc(cc1)Cl)Cl)C,4.49
*C(C*)(C(=O)OCc1c(ccc(c1)Cl)Cl)C,3.22
*C(C*)(C(=O)OCc1c(cccc1Cl)Cl)C,3.63
*C(C*)(C(=O)OCc1cc(cc(c1)Cl)Cl)C,2.69
*C(C*)(C(=O)OCCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)C,2.7
*C1(CC(c2c1cc(cc2)*)(C)C)C,2.6
*C1C2C(C=CC2)C(C1)/C=C\*,2.7175
*C1CC2CC(CC(C1)O2)OC(=O)Oc1ccc(cc1)C(c1ccc(cc1)OC(=O)O*)(C)C,3.14
*C1CC2CC(CC(C1)O2)OC(=O)Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)OC(=O)O*,5.32
*Oc1c(cc(cc1Cl)*)Cl,3.321
*Oc1cc(c(cc1)C=NN=Cc1c(cc(cc1)OCCCCCCCCCCCC*)O)O,3.8
*Oc1ccc(cc1)C(c1ccc(cc1)Oc1c(c(c(c(c1F)F)C(=O)c1c(c(c(c(c1F)F)*)F)F)F)F)(C(F)(F)F)C(F)(F)F,2.735
*Oc1ccc(cc1)C1(c2ccccc2-c2ccccc12)c1ccc(cc1)Oc1c(c(c(c(c1F)F)C(=O)c1c(c(c(c(c1F)F)*)F)F)F)F,2.9
*C1(c2c(C(=O)O1)cccc2)c1ccc(cc1)Oc1c(c(c(c(c1F)F)C(=O)c1c(c(c(c(c1F)F)Oc1ccc(cc1)*)F)F)F)F,2.85
