Smiles,E
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)C(=O)Nc2ccc(cc2)Oc2ccc(cc2)Oc2ccc(cc2)NC(=O)c2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(*)(C(F)(F)F)C(F)(F)F)cc1,2.4
*c1nc2c([nH]1)ccc(c2)NC(=O)c1ccc(cc1)OCCOCCOCCOCCOCCOc1ccc(cc1)C(=O)Nc1ccc(cc1)*,2.2
*Oc1ccc(cc1)NC(=O)c1cc(cc(c1)NC(=O)CCCN1C(=O)c2c(C1=O)cccc2)C(=O)Nc1ccc(cc1)*,2.7
*Oc1ccc(cc1)Sc1ccc(cc1)Oc1c(cc(cc1)c1ccc(cc1)c1ccc(cc1)c1cc(c(cc1)*)C(F)(F)F)C(F)(F)F,1.54
*N1C(=O)c2c(C1=O)cc(cc2)Oc1cc2c(cc1Oc1cc3c(C(=O)N(C3=O)c3ccc(cc3)Oc3ccc(cc3)*)cc1)cccc2,2.34
*NC(=O)CCCCC(=O)NCc1cc(ccc1)C*,2.923
*SCC*,1.765197
*c1cc2c(C(=O)N(C2=O)c2cc(c(cc2)OCC2(C(C(CC2)COc2c(cc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(=O)*)C(F)(F)F)(C)C)C)C(F)(F)F)cc1,2.36
*Oc1ccc(cc1)C(c1ccc(cc1)C(c1ccc(cc1)Oc1ccc(cc1)C(=O)Nc1ccc(cc1)Cc1ccc(cc1)NC(=O)c1ccc(cc1)*)(C)C)(C)C,1.6
*N1C(=O)C2C(C1=O)CC(CC2)C1CC2C(C(=O)N(C2=O)c2ccc(cc2)Cc2ccc(cc2)*)CC1,2.721345375
*N1C(=O)C(CC1=O)CC*,2.895816
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)Oc2cc3c(cc2)ccc(c3)Oc2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(=O)Nc2ccc(cc2)Oc2cc3c(cc2)ccc(c3)Oc2ccc(cc2)NC(=O)*)cc1,1.92
*c1nc(nc(n1)c1ccc(cc1)Oc1ccc(cc1)Sc1ccc(cc1)Oc1ccc(cc1)*)c1ccccc1,2.8
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)Cc2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(=O)c2ccc(cc2)Oc2ccc(cc2)Oc2ccc(cc2)C(=O)*)cc1,2.9
*Nc1ccc(cc1)Cc1ccc(cc1)NC(=O)c1ccc(cc1)P(=O)(c1ccc(cc1)C(=O)*)c1ccccc1,3.57
*c1cc2c(C(=O)N(C2=O)c2cc(ccc2)N2C(=O)c3c(C2=O)cc(cc3)C(=O)c2cc(ccc2)C(=O)*)cc1,3
*C(=C(*)C)SCC,1.6
*N1C(=O)c2c(C1=O)cc(cc2)Oc1ccc(cc1)C(c1ccc(cc1)Oc1cc2c(C(=O)N(C2=O)c2cc(ccc2)*)cc1)(C)C,2.65329
*c1oc(nn1)c1ccc(cc1)Oc1cc(ccc1)NC(=O)c1cc(cc(c1)NC(=O)c1ccc(cc1)OC(=O)C)C(=O)Nc1cc(ccc1)Oc1ccc(cc1)*,2.34
*N1C(=O)c2c(C1=O)cc(cc2)Oc1ccc(cc1)C1(CCCCCCCCCCC1)c1ccc(cc1)Oc1cc2c(C(=O)N(C2=O)c2ccc(cc2)Oc2ccc(cc2)C2(CCC(CC2)C(C)(C)C)c2ccc(cc2)Oc2ccc(cc2)*)cc1,1.7
*C1C2C(C(=O)N(C2=O)CCCCC)C(C1)C=C*,2.36
*N1C(=O)c2c(C1=O)cc(cc2)c1cc2c(C(=O)N(C2=O)c2ccc(cc2)OCCCCCCCCOc2ccc(cc2)*)cc1,1.99074995
*n1nc(c2c(c1=O)cc(cc2)Oc1ccc(cc1)C(c1ccc(cc1)Oc1ccc2c(c(nn(c2=O)c2ccc(cc2)S(=O)(=O)c2ccc(cc2)*)c2ccccc2)c1)(C)C)c1ccccc1,1.11
*C(=C*)c1c(c(c(c(c1F)F)CCCC)F)F,0.53
*Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Oc1ccc(cc1)c1ccc(cc1)Oc1ccc(cc1)C(=O)c1ccc(cc1)*,3.1
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)Oc2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(=O)Nc2cc(ccc2)Oc2ccc(cc2)NC(=O)*)cc1,2.53
*c1sc(cc1CCCCC)*,1.33
*c1cc2c(C(=O)N(C2=O)N2C(=O)c3c(C2=O)cc(cc3)Sc2ccc(cc2)Sc2ccc(cc2)S*)cc1,2.06
*c1cc2c(C(=O)N(C2=O)c2c(cccc2)Oc2ccc(cc2)Oc2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(=O)*)cc1,1.44
*Oc1cc2c(cc1)ccc(c2)Oc1ccc(cc1)C(=Nc1ccc(cc1)Oc1ccc(cc1)N=C(c1ccc(cc1)*)c1ccccc1)c1ccccc1,3
*Oc1c(cc(cc1)Oc1ccc(cc1)C(=O)c1ccc(cc1)C(=O)c1ccc(cc1)*)c1ccc(cc1)S(=O)(=O)O,0.6
*C(C*)(Cl)Cl,0.6619008
*N1C(=O)c2c(C1=O)cc(cc2)Oc1cc2c(cc1Oc1cc3c(C(=O)N(C3=O)c3cc(ccc3)*)cc1)cccc2,2.405
*N1C(=O)c2c(C1=O)cc(cc2)c1cc2c(C(=O)N(C2=O)c2cc(c(cc2)OCC2(C(C(CC2)COc2c(cc(cc2)*)C(F)(F)F)(C)C)C)C(F)(F)F)cc1,3.18
*NC(=O)c1ccc(cc1)C(=O)NCCCCCCCCCCCC*,2.549729
*N1C(=O)c2c(C1=O)c(ccc2)Oc1c2c(C(=O)N(C2=O)c2ccc(cc2)Oc2ccc(cc2)*)ccc1,1.57
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)Oc2c(cc(cc2)S(=O)(=O)c2cc(c(cc2)Oc2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(=O)*)c2cc(cc(c2)C(F)(F)F)C(F)(F)F)c2cc(cc(c2)C(F)(F)F)C(F)(F)F)cc1,2.3
*N1C(=O)c2c(C1=O)cc(cc2)c1cc2c(C(=O)N(C2=O)c2cc(ccc2)C(=O)Nc2cc(ccc2)S(=O)(=O)c2cc(ccc2)NC(=O)c2cc(ccc2)*)cc1,3.8049802
*Oc1ccc(cc1)CC(NC(=O)CCc1ccc(cc1)OC(=O)CCCCCCC(=O)*)C(=O)OCC,1.39
*OC(=O)c1cc2c(cc1)cc(cc2)C(=O)OCC*,3.018150545
*c1cc2c(C(=O)N(C2=O)c2cc(ccc2)N2C(=O)c3c(C2=O)cc(cc3)C(=O)c2cc(cc(c2)C(C)(C)C)C(=O)*)cc1,2.6
*N1C(=O)c2c(C1=O)cc(cc2)c1cc2c(C(=O)N(C2=O)c2cc(ccc2)C(=O)Nc2ccc(cc2)Oc2ccc(cc2)S(=O)(=O)c2ccc(cc2)Oc2ccc(cc2)NC(=O)c2cc(ccc2)*)cc1,2.91257505
*N1C(=O)c2c(C1=O)cc(cc2)Oc1cc2c(C(=O)N(C2=O)c2ccc(cc2)Oc2ccc(cc2)Oc2ccc(cc2)Oc2ccc(cc2)*)cc1,2.9
*Oc1ccc(cc1)NC(=O)c1ccc(cc1)c1ccc(cc1)C(=O)Nc1ccc(cc1)Oc1ccc(cc1)C1(C2CCC(C1)C2)c1ccc(cc1)*,2.3
*c1sc2cc3c(cc2n1)sc(n3)c1ccc(cc1)Oc1cc(ccc1)n1c(=O)c2cc3c(cc2c1=O)c(=O)n(c3=O)c1cc(ccc1)Oc1ccc(cc1)*,3.75
*c1cc2c(C(=O)N(C2=O)c2cc(ccc2)C(c2cc(ccc2)N2C(=O)c3c(C2=O)cc(cc3)C(=O)*)O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)cc1,2.69310888
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)Oc2c3c(ccc2)c(ccc3)Oc2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(=O)*)cc1,2.5
*n1c(=O)c2cc3c(cc2c1=O)c(=O)n(c3=O)c1ccc(cc1)Oc1ccc(cc1)C(=O)c1cc(ccc1)C(=O)c1ccc(cc1)Oc1ccc(cc1)*,3.6059804
*N1C(=O)c2c(C1=O)cc(cc2)c1cc2c(C(=O)N(C2=O)c2ccc(cc2)Oc2ccc(cc2)C(=O)c2ccc(cc2)Oc2ccc(cc2)*)cc1,2.5
*c1cc2c(C(=O)N(C2=O)c2cc(c(cc2)OCC2(C(C(CC2)COc2c(cc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(=O)OCC2C(C(CC2)(COC(=O)*)C)(C)C)C(F)(F)F)(C)C)C)C(F)(F)F)cc1,2.22
*N1C(=O)c2c(C1=O)cc(cc2)Oc1c(cccc1)Oc1cc2c(C(=O)N(C2=O)c2cc(ccc2)*)cc1,1.9
*n1c(nc2c1cccc2)c1ccc(cc1)Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Oc1ccc(cc1)c1nc2c(n1c1ccc(cc1)c1ccc(cc1)*)cccc2,1.999492
*Oc1ccc(cc1)NC(=O)c1cc(cc(c1)C(C)(C)C)C(=O)Nc1ccc(cc1)Oc1ccc(cc1)C(c1ccc(cc1)*)(C)C,1.8
*Oc1ccc(cc1)CC(NC(=O)CCc1ccc(cc1)OC(=O)CCCCC(=O)*)C(=O)OCC,1.5425
*N1C(=O)C2C3C4C(C(C2C1=O)C=C3)C(=O)N(C4=O)C1CCC(CC1)CC1CCC(CC1)*,2.5
*N1C(=O)c2c(C1=O)c(ccc2)c1cc2c(C(=O)N(C2=O)c2ccc(cc2)OCCCCCCCCCOc2ccc(cc2)*)cc1,1.57887065
*Nc1ccc(cc1)C(c1ccc(cc1)NC(=O)c1cc(ccc1)C(=O)*)(P1(=O)c2ccccc2-c2ccccc2O1)P1(=O)c2ccccc2-c2ccccc2O1,0.5305
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)Oc2c(cc(cc2)Oc2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(=O)Nc2ccc(cc2)Oc2ccc(cc2)C2(c3c(C(=O)N2)cccc3)c2ccc(cc2)Oc2ccc(cc2)NC(=O)*)C)cc1,1.85
*C(C*)(F)F,1.044954446
*Oc1ccc(cc1)C(c1ccc(cc1)OC(=O)OCCN(CCOC(=O)*)c1ccc2[nH]c3c(c2c1)cccc3)(C)C,2.137388
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)Oc2cc3c(cc2)ccc(c3)Oc2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(=O)Nc2ccc(cc2)Oc2ccc(cc2)C(c2ccc(cc2)Oc2ccc(cc2)NC(=O)*)(C)C)cc1,2.3
*N1C(=O)c2c(C1=O)c(ccc2)Oc1ccc(cc1)C(c1ccc(cc1)Oc1c2c(C(=O)N(C2=O)c2cc(ccc2)*)ccc1)(C)C,1.4
*c1cc2c(C(=O)N(C2=O)c2cc(ccc2)N2C(=O)c3c(C2=O)cc(cc3)C(=O)Nc2ccc(cc2)Oc2ccc(cc2)C2(c3c(C(=O)N2)cccc3)c2ccc(cc2)Oc2ccc(cc2)NC(=O)*)cc1,2.07
*N1C(=O)c2c(C1=O)cc(cc2)Oc1cc(ccc1)Oc1cc2c(C(=O)N(C2=O)c2cc(ccc2)Oc2ccc(cc2)S(=O)(=O)c2ccc(cc2)Oc2cc(ccc2)*)cc1,3.1
*C(C*)c1ccc(cc1)C,3.1
*Oc1c(c(ccc1)Oc1ccc(cc1)C(=O)Nc1ccc(cc1)S(=O)(=O)c1ccc(cc1)NC(=O)c1ccc(cc1)*)C#N,1.7
*N1C(=O)c2c(C1=O)cc(cc2)c1cc2c(C(=O)N(C2=O)c2ccc(cc2)OCCCCCCCCCOc2ccc(cc2)*)cc1,1.6475172
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)Oc2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(*)O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)cc1,1.7237
*n1c(=O)c2cc3c(cc2c1=O)c(=O)n(c3=O)c1ccc(cc1)c1sc(c(c1c1ccccc1)c1ccccc1)c1ccc(cc1)*,2.7
*N1C(=O)C2C3C4C(C(C2C1=O)C=C3)C(=O)N(C4=O)CCCCCCCCCC*,2.1
*c1cc2c(C(=O)N(C2=O)c2cc(ccc2)Oc2cc(ccc2)Oc2cc(ccc2)N2C(=O)c3c(C2=O)cc(cc3)C(*)(C(F)(F)F)C(F)(F)F)cc1,3.0923178
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)c2sc(c(c2c2ccccc2)c2ccccc2)c2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(=O)Nc2ccc(cc2)Oc2ccc(cc2)Oc2ccc(cc2)NC(=O)*)cc1,3.84
*NC(=O)CCCCC(=O)NCCCCCC*,1.559503385
*N1C(=O)c2c(C1=O)cc(cc2)c1c2c(C(=O)N(C2=O)c2cc(ccc2)OCCCc2cc(ccc2)*)ccc1,2.73605535
*N1C(=O)c2c(C1=O)cc(cc2)Oc1c(cc(cc1C)C(c1cc(c(c(c1)C)Oc1cc2c(C(=O)N(C2=O)c2ccc(cc2)Oc2ccc(cc2)C2(C3CC4CC(CC2C4)C3)c2ccc(cc2)Oc2ccc(cc2)*)cc1)C)(C)C)C,2
*N1C(=O)c2c(C1=O)cc(cc2)c1cc2c(C(=O)N(C2=O)c2cc(ccc2)OCCCCOc2cc(ccc2)*)cc1,2.2751428
*Oc1cc(ccc1)Oc1ccc(cc1)C(=O)c1ccc(cc1)*,1.7225
*C(=C*)c1c(cccc1)[Ge](C)(C)C,0.9
*N1C(=O)c2c(C1=O)c(ccc2)c1cc2c(C(=O)N(C2=O)c2ccc(cc2)OCCCCCOc2ccc(cc2)*)cc1,1.63771055
*c1cc2c(C(=O)N(C2=O)c2c(cccc2)Oc2ccc(cc2)Oc2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(*)(C(F)(F)F)C(F)(F)F)cc1,1.15
